,Metadata Cache(256KB),Metadata Cache(1MB),Attache (368KB CoPR),Ideal
GemsFDTD,1.3621502123037554,1.3837783969115756,1.4282711119778557,1.42827111198
omnetpp,1.1423169305601724,1.2474888273364506,1.384136066176193,1.38413606618
soplex,1.227610135641772,1.2362797902507177,1.2378689111764234,1.24173199591
mcf,1.1546515329170264,1.1640062481653746,1.1618069655810848,1.1933589277
lbm,0.9997697336442384,0.9972201298110771,0.9986556537452774,0.999769733644
libquantum,0.9990047530226038,1.002233621903448,1.0024141683100039,1.00241416831
milc,1.0429047104529443,1.043207073282858,1.025145787978685,1.05009842742
leslie3d,1.0463970946977401,1.0463970946977401,1.05437889847065,1.05701009765
sphinx3,1.0417806326189338,1.0413581621472154,1.0379276260146222,1.04178063262
astar,0.9266171392070603,1.001919253601657,1.0211230241594473,1.04482920004
h264ref,1.061232084143897,1.061232084143897,1.0645340716574099,1.06453407166
sjeng,0.9914941031423371,1.0048234681450072,1.0120935477867425,1.01289917988
cactusADM,1.1559765340849986,1.1596319363312868,1.1606382512713218,1.16303022315
zeusmp,1.1577283994399452,1.1728540919285417,1.1823078839663002,1.18230788397
bwaves,1.2814370798804033,1.2870958703299376,1.2850897328523545,1.28794481647
gcc,1.2161486848895566,1.2440842243042118,1.2431069602588296,1.2440842243
bzip2,1.0244142011563557,1.0244142011563557,1.0237614593874118,1.02441420116
xalancbmk,1.1245934422946156,1.1400418388238014,1.089288006805813,1.14004183882
mix1,1.0527593108848556,1.0476857029571913,1.0657188383262448,1.06571883833
mix2,0.9865871661951738,1.0050448799010625,1.012093695071385,1.01859951375
bfs.road,1.1318235022158016,1.1694021797917433,1.145157500561285,1.16940217979
bfs.web,1.1003430765356905,1.1017148021638492,1.0827579335449484,1.10820549416
bfs.kron,1.0048330839136828,1.0772429018020895,1.4253506336725614,1.42878429345
bfs.urand,0.9325761387727913,0.9826782106753504,1.1026017071021639,1.14610383088
bfs.twitter,1.0908102355789817,1.189554639921735,1.4414082679300468,1.44463274297
bc.road,1.3587209544159267,1.4752182880012668,1.4799762219872048,1.47997622199
bc.web,1.2044709242664486,1.2148072366796023,1.2307509360121591,1.23075093601
bc.kron,0.9307113549408143,0.9828382104282289,1.5798588193215746,1.57985881932
bc.urand,0.9268600311504123,0.9712709837709658,1.5543208401920947,1.5549665567
bc.twitter,0.9518247757136113,1.0424126462510455,1.5318732081273458,1.53330460654
pr.road,1.0781692492606272,1.0781692492606272,1.079559477388735,1.08013325841
pr.web,1.0728595196338035,1.071767932758932,1.0655531395791247,1.07484872144
pr.kron,0.9955988496129881,1.0035875032863428,1.0068388163432775,1.09508058356
pr.urand,0.991416283467222,0.9925496302261931,1.001463630619806,1.00168123188
pr.twitter,1.0075976956564632,1.0432996450242733,1.0825032084019166,1.08626452595
RAND,0.7914208360820655,0.8204639877690834,1.2020144982125651,1.33965470084
STREAM,0.9970420077728024,0.9980496752297463,1.0000348481137773,1.00003484811
SPEC-RATE,1.103290756087276,1.1198326910185439,1.126891758091405,1.13260982313
SPEC-MIX,1.0191363133612077,1.026143825934099,1.0385602134632315,1.03856021346
GAP,1.046165260513419,1.0865711355351477,1.236550274565173,1.25154313596
GMEAN,1.062094848070637,1.0875316817756076,1.1608049585146845,1.17205100804
